Governorate;GOV_code;District;District_code;Name;Type;type_pcoding;OLD_P_code;CCCM_Pcode;Latitude;Longitude
Erbil;IQ-G11;Erbil;IQ-D064;Ainkawa Mall;IDPCollective_Centre;IDPcc-;er-idp-10;IQ-G11-D064-01-IDPcc-001;36                                 ,243583;43                                                            ,996617
Erbil;IQ-G11;Erbil;IQ-D064;Church Mall;IDPCollective_Centre;IDPcc-;er-idp-11;IQ-G11-D064-01-IDPcc-002;36                                  ,22767526;43                                                          ,99106026
Baghdad;IQ-G07;Adhamia;IQ-D039;Nabi Sheit (Prophet Sheit) Camp;IDPcamp_formal;IDPcf-;ba-idp-31;IQ-G07-D039-01-IDPcf-001;33                ,4014528;44                                                           ,386
Baghdad;IQ-G07;Resafa;IQ-D044;Al-Nabi Younis Camp;IDPcamp_formal;IDPcf-;ba-idp-36;IQ-G07-D044-01-IDPcf-001;33                             ,325;44                                                               ,422
Basrah;IQ-G02;Basrah;IQ-D010;Basrah Camp (Shabat al Arab);IDPcamp_formal;IDPcf-;bs-idp-2;IQ-G02-D010-01-IDPcf-001;30                      ,5;47                                                                 ,816667
Dahuk;IQ-G08;Amedi;IQ-D048;Dawadia Camp (Bamarne);IDPcamp_formal;IDPcf-;da-idp-20;IQ-G08-D048-01-IDPcf-001;37                             ,12162;43                                                             ,27194
Dahuk;IQ-G08;Sumel;IQ-D050;Bajet Kandala 1 Camp;IDPcamp_formal;IDPcf-;da-idp-2;IQ-G08-D050-01-IDPcf-002;37                                ,054789;42                                                            ,445256
Dahuk;IQ-G08;Sumel;IQ-D050;Bajet Kandala 2 Camp;IDPcamp_formal;IDPcf-;da-idp-1;IQ-G08-D050-01-IDPcf-001;37                                ,055932;42                                                            ,448434
Dahuk;IQ-G08;Sumel;IQ-D050;Khanke Camp;IDPcamp_formal;IDPcf-;da-idp-8;IQ-G08-D050-01-IDPcf-001;36                                         ,781005;42                                                            ,773739
Dahuk;IQ-G08;Sumel;IQ-D050;Shariya;IDPcamp_formal;IDPcf-;da-idp-7;IQ-G08-D050-01-IDPcf-002;36                                             ,793444;42                                                            ,967528
Dahuk;IQ-G08;Sumel;IQ-D050;Kabarto I Camp;IDPcamp_formal;IDPcf-;da-idp-14;IQ-G08-D050-01-IDPcf-003;36                                     ,7935833;42                                                           ,862
Dahuk;IQ-G08;Sumel;IQ-D050;Qadia Camp;IDPcamp_formal;IDPcf-;da-idp-15;IQ-G08-D050-01-IDPcf-004;37                                         ,0603;42                                                              ,618683
Dahuk;IQ-G08;Sumel;IQ-D050;Karbato II Camp;IDPcamp_formal;IDPcf-;da-idp-19;IQ-G08-D050-01-IDPcf-005;36                                    ,7935833;42                                                           ,862
Dahuk;IQ-G08;Zakho;IQ-D051;Chamishku Camp (Ag. Research land);IDPcamp_formal;IDPcf-;da-idp-17;IQ-G08-D051-01-IDPcf-001;37                 ,178;42                                                               ,668
Dahuk;IQ-G08;Zakho;IQ-D051;Bersive II Camp;IDPcamp_formal;IDPcf-;da-idp-4;IQ-G08-D051-01-IDPcf-002;37                                     ,1798;42                                                              ,85398
Dahuk;IQ-G08;Zakho;IQ-D051;Bersive I Camp;IDPcamp_formal;IDPcf-;da-idp-3;IQ-G08-D051-01-IDPcf-003;37                                      ,1895;42                                                              ,8549
Diyala;IQ-G10;Khanaqin;IQ-D060;Aiden Camp/New Alyawa Camp;IDPcamp_formal;IDPcf-;di-idp-2;IQ-G10-D060-01-IDPcf-002;34                      ,342164;45                                                            ,326362
