Governorate_correct;GOV_code;District;District_pcoding;District_c;Name;Type;type_pcoding;OLD_P_code;P_code_line;Final_Pcode;Latitude;Longitude
Anbar;IQ-G01;Heet;D004;IQ-D004;Heet 1 Collective shelter;IDPcollective_shelter;IDPcs-;an-idp-10;IQ-G01-D004-01-IDPcs-;IQ-G01-D004-01-IDPcs-001;33                                ,6329556;42,84088056
Anbar;IQ-G01;Heet;D004;IQ-D004;Heet 2 Collective shelter;IDPcollective_shelter;IDPcs-;an-idp-11;IQ-G01-D004-01-IDPcs-;IQ-G01-D004-01-IDPcs-002;34                                ,6335389;42,84111667
Anbar;IQ-G15;Heet;D004;IQ-D004;Heet 3 Collective shelter;IDPcollective_shelter;IDPcs-;an-idp-12;IQ-G15-D004-01-IDPcs-;IQ-G01-D004-01-IDPcs-003;35                                ,6325611;42,84174444
Anbar;IQ-G01;Heet;D004;IQ-D004;Heet School Collective shelter;IDPcollective_shelter;IDPcs-;an-idp-14;IQ-G01-D004-01-IDPcs-;IQ-G01-D004-01-IDPcs-004;33                           ,6422233;42,82110977
Anbar;IQ-G01;Ka'im;D005;IQ-D005;Al-Geel School Collective shelter;IDPcollective_shelter;IDPcs-;an-idp-1;IQ-G01-D005-01-IDPcs-;IQ-G01-D005-01-IDPcs-001;34                        ,4366667;41,23305556
Anbar;IQ-G01;Ka'im;D005;IQ-D005;Phosphate company hotel Collective shelter;IDPcollective_shelter;IDPcs-;an-idp-2;IQ-G01-D005-01-IDPcs-;IQ-G01-D005-01-IDPcs-002;34               ,4335722;41,22983611
Anbar;IQ-G01;Ka'im;D005;IQ-D005;former vocational training school Collective shelter;IDPcollective_shelter;IDPcs-;an-idp-3;IQ-G01-D005-01-IDPcs-;IQ-G01-D005-01-IDPcs-003;34     ,4493611;41,22950278
Anbar;IQ-G01;Ka'im;D005;IQ-D005;Al-Smoad School Collective shelter;IDPcollective_shelter;IDPcs-;an-idp-4;IQ-G01-D005-01-IDPcs-;IQ-G01-D005-01-IDPcs-004;34                       ,42;41     ,20111111
Anbar;IQ-G01;Ka'im;D005;IQ-D005;Al-Bahaa School Collective shelter;IDPcollective_shelter;IDPcs-;an-idp-5;IQ-G01-D005-01-IDPcs-;IQ-G01-D005-01-IDPcs-005;34                       ,4419444;41,23277778
Anbar;IQ-G01;Ka'im;D005;IQ-D005;Al-Dora School Collective shelter;IDPcollective_shelter;IDPcs-;an-idp-6;IQ-G01-D005-01-IDPcs-;IQ-G01-D005-01-IDPcs-006;34                        ,3744444;40,98972222
Anbar;IQ-G01;Ka'im;D005;IQ-D005;Al-Emam Zuhre School Collective shelter;IDPcollective_shelter;IDPcs-;an-idp-7;IQ-G01-D005-01-IDPcs-;IQ-G01-D005-01-IDPcs-007;34                  ,3916667;40,99861111
Anbar;IQ-G01;Ka'im;D005;IQ-D005;Al-Samah School Collective shelter;IDPcollective_shelter;IDPcs-;an-idp-8;IQ-G01-D005-01-IDPcs-;IQ-G01-D005-01-IDPcs-008;34                       ,3846917;41,24337222
Anbar;IQ-G01;Ka'im;D005;IQ-D005;Medium-Obaidi Collective shelter;IDPcollective_shelter;IDPcs-;an-idp-9;IQ-G01-D005-01-IDPcs-;IQ-G01-D005-01-IDPcs-009;34                         ,4253194;41,23494167
Baghdad;IQ-G07;Abu Ghraib;D038;IQ-D038;Anwal Wa Bukhari School Collective shelter;IDPcollective_shelter;IDPcs-;ba-idp-33;IQ-G07-D038-01-IDPcs-;IQ-G07-D038-01-IDPcs-001;33       ,2929389;44,0583
Baghdad;IQ-G07;Abu Ghraib;D038;IQ-D038;Unfinished structures RICC5- 2 Collective shelter;IDPcollective_shelter;IDPcs-;ba-idp-34;IQ-G07-D038-01-IDPcs-;IQ-G07-D038-01-IDPcs-002;33,3448139;44,15758333
Baghdad;IQ-G07;Abu Ghraib;D038;IQ-D038;unfinished structures RICC5 -2 Collective shelter;IDPcollective_shelter;IDPcs-;ba-idp-35;IQ-G07-D038-01-IDPcs-;IQ-G07-D038-01-IDPcs-003;33,3040556;44,15369444
Baghdad;IQ-G07;Adhamia;D039;IQ-D039;Al Wafa'a Collective shelter;IDPcollective_shelter;IDPcs-;ba-idp-25;IQ-G07-D039-01-IDPcs-;IQ-G07-D039-01-IDPcs-001;33                        ,4116389;44,41140194
